,"(mm) Precipitation (TerraClimate) at -95.0000E,38.0000N, Jan 1958 to Dec 2024"
"1977-03-01",66
"1977-04-01",63
"1977-05-01",182
"1977-06-01",281
"1977-07-01",58
"1977-08-01",147
"1977-09-01",169
"1977-10-01",111
"1977-11-01",62
"1977-12-01",11
"1978-01-01",18
"1978-02-01",31
"1978-03-01",78
"1978-04-01",87
"1978-05-01",135
"1978-06-01",113
"1978-07-01",55
"1978-08-01",119
"1978-09-01",56
"1978-10-01",20
"1978-11-01",113
"1978-12-01",24
"1979-01-01",77
"1979-02-01",20
"1979-03-01",77
"1979-04-01",69
"1979-05-01",103
"1979-06-01",194
"1979-07-01",120
"1979-08-01",89
"1979-09-01",50
"1979-10-01",117
"1979-11-01",109
"1979-12-01",9
"1980-01-01",27
"1980-02-01",42
"1980-03-01",119
"1980-04-01",38
"1980-05-01",56
"1980-06-01",69
"1980-07-01",21
"1980-08-01",102
"1980-09-01",41
"1980-10-01",109
"1980-11-01",21
"1980-12-01",39
"1981-01-01",8
"1981-02-01",30
"1981-03-01",50
"1981-04-01",47
"1981-05-01",167
"1981-06-01",279
"1981-07-01",86
"1981-08-01",120
"1981-09-01",51
"1981-10-01",174
"1981-11-01",84
"1981-12-01",12
"1982-01-01",76
"1982-02-01",16
"1982-03-01",72
"1982-04-01",62
"1982-05-01",196
"1982-06-01",115
"1982-07-01",71
"1982-08-01",187
"1982-09-01",38
"1982-10-01",61
"1982-11-01",62
"1982-12-01",98
"1983-01-01",22
"1983-02-01",35
"1983-03-01",93
"1983-04-01",215
"1983-05-01",106
"1983-06-01",119
"1983-07-01",31
"1983-08-01",32
"1983-09-01",58
"1983-10-01",206
"1983-11-01",102
"1983-12-01",41
"1984-01-01",10
"1984-02-01",53
"1984-03-01",144
"1984-04-01",131
"1984-05-01",81
"1984-06-01",164
"1984-07-01",36
"1984-08-01",41
"1984-09-01",71
"1984-10-01",180
"1984-11-01",56
"1984-12-01",77
"1985-01-01",53
"1985-02-01",99
"1985-03-01",98
"1985-04-01",80
"1985-05-01",128
"1985-06-01",188
"1985-07-01",50
"1985-08-01",245
"1985-09-01",141
"1985-10-01",133
"1985-11-01",128
"1985-12-01",43
"1986-01-01",0
"1986-02-01",43
"1986-03-01",39
"1986-04-01",114
"1986-05-01",122
"1986-06-01",105
"1986-07-01",113
"1986-08-01",128
"1986-09-01",315
"1986-10-01",267
"1986-11-01",59
"1986-12-01",28
"1987-01-01",38
"1987-02-01",76
"1987-03-01",107
"1987-04-01",50
"1987-05-01",163
"1987-06-01",121
"1987-07-01",96
"1987-08-01",183
"1987-09-01",76
"1987-10-01",55
"1987-11-01",91
"1987-12-01",74
"1988-01-01",19
"1988-02-01",29
"1988-03-01",85
"1988-04-01",115
"1988-05-01",46
"1988-06-01",61
"1988-07-01",119
"1988-08-01",81
"1988-09-01",164
"1988-10-01",29
"1988-11-01",82
"1988-12-01",39
"1989-01-01",37
"1989-02-01",25
"1989-03-01",72
"1989-04-01",12
"1989-05-01",112
"1989-06-01",142
"1989-07-01",169
"1989-08-01",164
"1989-09-01",90
"1989-10-01",98
"1989-11-01",0
"1989-12-01",10
"1990-01-01",52
"1990-02-01",72
"1990-03-01",143
"1990-04-01",84
"1990-05-01",232
"1990-06-01",146
"1990-07-01",72
"1990-08-01",89
"1990-09-01",54
"1990-10-01",68
"1990-11-01",56
"1990-12-01",34
"1991-01-01",39
"1991-02-01",5
"1991-03-01",35
"1991-04-01",107
"1991-05-01",117
"1991-06-01",52
"1991-07-01",74
"1991-08-01",48
"1991-09-01",80
"1991-10-01",60
"1991-11-01",81
"1991-12-01",60
"1992-01-01",19
"1992-02-01",42
"1992-03-01",72
"1992-04-01",90
"1992-05-01",63
"1992-06-01",137
"1992-07-01",213
"1992-08-01",54
"1992-09-01",135
"1992-10-01",56
"1992-11-01",173
"1992-12-01",102
"1993-01-01",55
"1993-02-01",47
"1993-03-01",56
"1993-04-01",92
"1993-05-01",192
"1993-06-01",147
"1993-07-01",181
"1993-08-01",77
"1993-09-01",300
"1993-10-01",44
"1993-11-01",59
"1993-12-01",31
"1994-01-01",22
"1994-02-01",47
"1994-03-01",39
"1994-04-01",227
"1994-05-01",56
"1994-06-01",87
"1994-07-01",103
"1994-08-01",149
"1994-09-01",69
"1994-10-01",115
"1994-11-01",140
"1994-12-01",23
"1995-01-01",46
"1995-02-01",15
"1995-03-01",29
"1995-04-01",124
"1995-05-01",267
"1995-06-01",232
"1995-07-01",69
"1995-08-01",116
"1995-09-01",63
"1995-10-01",12
"1995-11-01",13
"1995-12-01",32
"1996-01-01",34
"1996-02-01",6
"1996-03-01",44
"1996-04-01",81
"1996-05-01",118
"1996-06-01",123
"1996-07-01",105
"1996-08-01",168
"1996-09-01",144
"1996-10-01",93
"1996-11-01",99
"1996-12-01",7
"1997-01-01",24
"1997-02-01",96
"1997-03-01",50
"1997-04-01",76
"1997-05-01",145
"1997-06-01",158
"1997-07-01",77
"1997-08-01",142
"1997-09-01",99
"1997-10-01",102
"1997-11-01",49
"1997-12-01",62
"1998-01-01",49
"1998-02-01",19
"1998-03-01",131
"1998-04-01",85
"1998-05-01",53
"1998-06-01",161
"1998-07-01",147
"1998-08-01",57
"1998-09-01",238
"1998-10-01",214
"1998-11-01",109
"1998-12-01",38
"1999-01-01",48
"1999-02-01",38
"1999-03-01",66
"1999-04-01",185
"1999-05-01",177
"1999-06-01",207
"1999-07-01",57
"1999-08-01",94
"1999-09-01",126
"1999-10-01",26
"1999-11-01",34
"1999-12-01",79
"2000-01-01",16
"2000-02-01",51
"2000-03-01",91
"2000-04-01",26
"2000-05-01",112
"2000-06-01",215
"2000-07-01",93
"2000-08-01",7
"2000-09-01",66
"2000-10-01",107
"2000-11-01",42
"2000-12-01",21
"2001-01-01",56
"2001-02-01",87
"2001-03-01",41
"2001-04-01",59
"2001-05-01",122
"2001-06-01",189
"2001-07-01",90
"2001-08-01",84
"2001-09-01",91
"2001-10-01",110
"2001-11-01",25
"2001-12-01",23
"2002-01-01",64
"2002-02-01",16
"2002-03-01",34
"2002-04-01",103
"2002-05-01",217
"2002-06-01",110
"2002-07-01",67
"2002-08-01",40
"2002-09-01",60
"2002-10-01",81
"2002-11-01",13
"2002-12-01",33
"2003-01-01",11
"2003-02-01",47
"2003-03-01",73
"2003-04-01",96
"2003-05-01",125
"2003-06-01",129
"2003-07-01",43
"2003-08-01",173
"2003-09-01",94
"2003-10-01",54
"2003-11-01",43
"2003-12-01",72
"2004-01-01",40
"2004-02-01",21
"2004-03-01",150
"2004-04-01",92
"2004-05-01",113
"2004-06-01",163
"2004-07-01",157
"2004-08-01",101
"2004-09-01",34
"2004-10-01",121
"2004-11-01",122
"2004-12-01",22
"2005-01-01",107
"2005-02-01",58
"2005-03-01",32
"2005-04-01",60
"2005-05-01",85
"2005-06-01",187
"2005-07-01",81
"2005-08-01",207
"2005-09-01",82
"2005-10-01",51
"2005-11-01",29
"2005-12-01",14
"2006-01-01",23
"2006-02-01",1
"2006-03-01",71
"2006-04-01",124
"2006-05-01",93
"2006-06-01",85
"2006-07-01",75
"2006-08-01",113
"2006-09-01",37
"2006-10-01",74
"2006-11-01",42
"2006-12-01",62
"2007-01-01",39
"2007-02-01",35
"2007-03-01",100
"2007-04-01",104
"2007-05-01",177
"2007-06-01",253
"2007-07-01",123
"2007-08-01",59
"2007-09-01",74
"2007-10-01",151
"2007-11-01",9
"2007-12-01",59
"2008-01-01",25
"2008-02-01",78
"2008-03-01",99
"2008-04-01",145
"2008-05-01",181
"2008-06-01",266
"2008-07-01",101
"2008-08-01",69
"2008-09-01",198
"2008-10-01",94
"2008-11-01",48
"2008-12-01",39
"2009-01-01",4
"2009-02-01",39
"2009-03-01",110
"2009-04-01",163
"2009-05-01",132
"2009-06-01",154
"2009-07-01",122
"2009-08-01",138
"2009-09-01",145
"2009-10-01",190
"2009-11-01",37
"2009-12-01",51
"2010-01-01",26
"2010-02-01",33
"2010-03-01",66
"2010-04-01",74
"2010-05-01",166
"2010-06-01",137
"2010-07-01",176
"2010-08-01",47
"2010-09-01",224
"2010-10-01",27
"2010-11-01",54
"2010-12-01",12
"2011-01-01",27
"2011-02-01",55
"2011-03-01",58
"2011-04-01",112
"2011-05-01",144
"2011-06-01",90
"2011-07-01",47
"2011-08-01",125
"2011-09-01",57
"2011-10-01",38
"2011-11-01",119
"2011-12-01",72
"2012-01-01",14
"2012-02-01",75
"2012-03-01",103
"2012-04-01",104
"2012-05-01",56
"2012-06-01",67
"2012-07-01",24
"2012-08-01",98
"2012-09-01",72
"2012-10-01",70
"2012-11-01",30
"2012-12-01",23
"2013-01-01",39
"2013-02-01",56
"2013-03-01",61
"2013-04-01",113
"2013-05-01",198
"2013-06-01",87
"2013-07-01",106
"2013-08-01",164
"2013-09-01",79
"2013-10-01",145
"2013-11-01",35
"2013-12-01",24
"2014-01-01",16
"2014-02-01",28
"2014-03-01",35
"2014-04-01",79
"2014-05-01",87
"2014-06-01",208
"2014-07-01",52
"2014-08-01",119
"2014-09-01",124
"2014-10-01",165
"2014-11-01",24
"2014-12-01",40
"2015-01-01",36
"2015-02-01",26
"2015-03-01",37
"2015-04-01",87
"2015-05-01",224
"2015-06-01",169
"2015-07-01",194
"2015-08-01",126
"2015-09-01",123
"2015-10-01",42
"2015-11-01",144
"2015-12-01",99
"2016-01-01",23
"2016-02-01",15
"2016-03-01",61
"2016-04-01",139
"2016-05-01",170
"2016-06-01",75
"2016-07-01",176
"2016-08-01",180
"2016-09-01",176
"2016-10-01",69
"2016-11-01",24
"2016-12-01",23
"2017-01-01",64
"2017-02-01",13
"2017-03-01",97
"2017-04-01",201
"2017-05-01",148
"2017-06-01",186
"2017-07-01",79
"2017-08-01",187
"2017-09-01",65
"2017-10-01",124
"2017-11-01",10
"2017-12-01",11
"2018-01-01",31
"2018-02-01",53
"2018-03-01",53
"2018-04-01",43
"2018-05-01",99
"2018-06-01",134
"2018-07-01",60
"2018-08-01",160
"2018-09-01",97
"2018-10-01",213
"2018-11-01",47
"2018-12-01",73
"2019-01-01",49
"2019-02-01",44
"2019-03-01",75
"2019-04-01",122
"2019-05-01",253
"2019-06-01",152
"2019-07-01",110
"2019-08-01",221
"2019-09-01",101
"2019-10-01",121
"2019-11-01",48
"2019-12-01",33
"2020-01-01",76
"2020-02-01",46
"2020-03-01",98
"2020-04-01",97
"2020-05-01",172
"2020-06-01",46
"2020-07-01",183
"2020-08-01",82
"2020-09-01",85
"2020-10-01",79
"2020-11-01",55
"2020-12-01",23
"2021-01-01",77
"2021-02-01",15
"2021-03-01",113
"2021-04-01",57
"2021-05-01",102
"2021-06-01",168
"2021-07-01",148
"2021-08-01",68
"2021-09-01",82
"2021-10-01",195
"2021-11-01",23
"2021-12-01",16
"2022-01-01",17
"2022-02-01",39
"2022-03-01",69
"2022-04-01",86
"2022-05-01",229
"2022-06-01",102
"2022-07-01",43
"2022-08-01",72
"2022-09-01",18
"2022-10-01",53
"2022-11-01",116
"2022-12-01",33
"2023-01-01",55
"2023-02-01",46
"2023-03-01",60
"2023-04-01",15
"2023-05-01",67
"2023-06-01",70
"2023-07-01",141
"2023-08-01",84
"2023-09-01",149
"2023-10-01",105
"2023-11-01",29
"2023-12-01",64
"2024-01-01",55
"2024-02-01",34
"2024-03-01",48
"2024-04-01",207
"2024-05-01",165
"2024-06-01",91
"2024-07-01",51
"2024-08-01",54
"2024-09-01",56
"2024-10-01",49
"2024-11-01",120
"2024-12-01",16
